SMILES,lnA,EaR
C/C=C(C)/CC,22.54580959,-3845.897867
C=CCCC(C)C,22.61239571,-4028.937771
C1CCCCC1(C),22.33746542,-4102.444179
C1CCCCC1(CC),22.57484975,-4528.230335
C1CCCCC1(C)(C),21.80634369,-4062.379601
C1[C@@](C)([H])([C@]([H])(C)(CCC1)),21.96172356,-4243.536639
C1[C@](C)([H])([C@]([H])(C)(CCC1)),22.08860888,-4238.773131
C1[C@@](C)([H])(C[C@]([H])(C)(CC1)),22.0560585,-4187.065952
C1[C@](C)([H])(C[C@]([H])(C)(CC1)),22.17723946,-4293.113921
C1[C@@](C)([H])(CC[C@]([H])(C)(C1)),22.13798461,-4273.409822
C1[C@](C)([H])(CC[C@]([H])(C)(C1)),21.90345894,-4098.046145
C1[C@](C)([H])(C[C@]([H])(C)(C[C@]1([H])(C))),22.19253749,-4429.956908
C1CCCCC1CCC,22.76239546,-4888.751796
C1CCCCC1C(C)C,22.60245194,-4796.097124
C1(C)C(C)C(C)C(C)CC1,23.09001922,-5267.904937
C1CCCCC1CCCC,22.91719404,-5236.719167
C1C[C@]2(CCCC[C@]2(CC1)([H]))([H]),22.35237869,-5135.318049
C1C[C@@]2(CCCC[C@]2(CC1)([H]))([H]),22.30799993,-5001.809624
C1CCCCC1C2CCCCC2,22.69945327,-5753.069533
C1CCCCC1(CC)(CC),23.25903361,-5364.359407
C1CCCCC1(CCCCCCCCCC),24.26258288,-7329.978484
C1CCCCCC1,21.96564791,-4105.135458
C1CCCCCCC1,21.99785844,-4458.437077
C1(CC)CCC(CC)CC1,23.03205506,-5241.32674
CC(C)C(C)CCCC,23.03465824,-4834.488295
CC(C)C(C)CCCCCC,23.59604855,-5629.729538
CC(C)C(C)CCCCCCC,23.72593818,-5943.969154
CC(C)C(C)CCCCCCCC,23.79442462,-6209.954672
CC(C)C(C)CCCCCCCCC,23.98595421,-6552.091744
CCC1(CCCC1)CC,22.20564385,-4587.297387
CC(C)CC1CCCC1,22.67277362,-4769.127799
CCCCCC1CCCC1,23.12495976,-5338.422084
CCCCCCC1CCCC1,23.37307479,-5725.538382
CC(C)CCCC(C)C,22.98824549,-4748.561293
CCCC(C)C(C)CC,22.89056072,-4768.405187
CC(C)(C)C(C)CCC,22.7341963,-4627.474007
CC(C)(C)CC(C)CC,22.68918388,-4518.294816
CC(C)(C)C(CC)CC,22.5996011,-4564.243413
CC(C)C(CC)C(C)C,22.79404031,-4683.209869
C(CC(=CC(C)(C)C)C)(C)(C)C,22.35547658,-4964.61319
C=CCCC,22.2425317,-3286.854883
C/C=CCC,22.36063207,-3401.811797
C/C=C/CC,22.30882442,-3375.69091
C=C(C)CC,22.21175345,-3288.278885
CC(C)=CC,22.33379389,-3401.383173
C=CCCCC,22.56849887,-3766.731969
C/C=CCCC,22.50454587,-3803.406916
C/C=C/CCC,22.47961361,-3781.391661
CC/C=CCC,22.50175651,-3777.921259
CC/C=C/CC,22.41939019,-3746.395827
C=C(C)CCC,22.33685059,-3680.039125
C=CC(C)CC,22.31437434,-3577.855534
CCC/C=CCCC,22.76562035,-4492.751811
CCC/C=C/CCC,22.57268457,-4423.293988
CC/C=CCCCC,22.84591927,-4534.699689
C=CCCCCCCCCCCCCCCC,24.54408312,-7545.248996
C=CCCCCCCCCCCCCCCCCC,25.03970255,-8225.276562
C1=CCC(C=C)CC1,22.59893731,-4482.569697
C1(C)=CCCC1,22.39875963,-3836.096021
C1=CC(C)CC1,22.24776299,-3657.903181
C1=CCC(C)C1,22.56803921,-3801.048085
C=C(C)C(C)CCC,22.63295857,-4317.280938
C1=[C@](C)(CCC([C@](=C)(C))C1),22.76116413,-5122.294824
C1(C)=CCC(=C(C)C)CC1,22.91358072,-5309.2952
C1CCCC=C1CC=C,22.82175996,-4939.065504
C=C=CCC,22.17952299,-3444.860472
C=C/C=CC,22.39157615,-3493.411006
C=C/C=C/C,22.04080094,-3333.599571
C=CCC=C,21.87228282,-3152.39307
CC=C=CC,22.36833331,-3533.158237
C=C(C)C=C,22.06554607,-3285.148702
C=CCCC=C,22.15341596,-3576.962687
C=C=C(C)C,22.1008111,-3357.850374
C1(C)=CC=CC1,22.22591364,-3725.261711
C=CCC=CC,22.44771792,-3742.598637
C/C=C/C=C/C,22.13879661,-3791.148419
C1=CC=CC1,21.82375897,-3237.753488
CC(C)C1C=CC(C)=CC1,23.09056264,-5258.662063
CC(C)C1C=CC(=C)CC1,22.89262519,-5147.507834
C=C(C)C(C)=C,21.98316926,-3603.938699
C/C=C/C=CC,22.35573574,-3905.968132
C=CC(C)C=C,22.30920728,-3556.517716
C1=CCCC=CCCC=CCC1,22.60248291,-5712.573184
C1=CCCC=CCCC=CCC1,23.29076237,-5938.65571
C=C(C)CCC(C)=C,22.43283368,-4272.51762
CC(C)=CC=C(C)C,22.2089948,-4385.675007
C1=CC=CCC1,22.34684797,-3863.748206
C1=CCC=CC1,22.38399865,-3936.144834
C1=CCCC=CCC1,22.6492655,-4766.052592
CC/C=C/C=C,22.16538215,-3701.242822
C=C(C)/C=C/C,22.0463789,-3696.559829
C=CCCCCCCC=C,23.52723141,-5324.674426
C1=CC=CC=CC=C1,22.3805983,-4528.437122
CC#CC,22.12638713,-3178.706562
C#CCCC,22.38321217,-3423.704191
CCC#CCC,22.25848064,-3848.273737
CC#CCCC,22.21895898,-3872.205948
C(C#C)(C)(C)C,21.52548631,-3120.968586
CC#CCC,22.08434901,-3524.542312
C#CCCCC,22.79288761,-3925.824521
C=C(C)C#C,21.69433276,-3124.361667
C#CCCCCCC,22.99904128,-4625.428277
OCCCN,26.03782439,-6757.577601
OC(C)CN,25.39167074,-6018.383125
ClCC(=O)OC,23.45514945,-4848.086673
CC(=O)SCC,22.73662677,-4397.119998
O1C=NC=C1,22.69341413,-3863.930798
CC(O)C#N,26.03168956,-6717.024882
COS(=O)(=O)OC,23.51346526,-5554.503923
CCOS(=O)(=O)OCC,23.62146608,-5887.624461
CC(O)C(O)=O,27.36675708,-7874.311593
CC(O)C(=O)OCC,24.16560621,-5446.494126
CC(=O)OCCOCC,23.95512934,-5404.894718
CCOCCOCCOC(=O)C,24.15064845,-6275.111569
CC(=O)CC(=O)OC,23.47855642,-5382.493126
CC(=O)CC(=O)OCC,23.89836244,-5669.82423
N#CCC(=O)OC,24.04681372,-6049.893708
N#CCC(=O)OCC,24.09798067,-6091.852134
COCCC#N,23.48759353,-5292.986685
C1=CON=C1,22.69432126,-4148.534755
CCOS(=O)(=O)O,24.81349584,-7444.090703
C(F)(F)(F)C(F)(F)C(F)(F)C(=O)O,24.95099426,-5340.019867
CC(O)CCl,24.35065379,-5175.648645
C=CC(=O)OCCC(O)=O,25.41299558,-7486.95424
CCCS(=O)(=O)Cl,23.02004407,-5449.584556
CCS(=O)(=O)Cl,23.23395853,-5312.061485
CC(C)(C)NC=O,23.29368534,-5639.355349
OCCSCCO,26.18949967,-8051.025902
SCCOCCS,23.68517469,-6056.530218
SCCO,24.75302201,-5728.442162
OCCSCC,25.10028903,-6243.34607
SCCS,22.62734015,-4693.859011
CCN(CC)CCO,24.45039563,-5637.855769
CNCCO,24.50394649,-5645.82229
CN(C)CCO,23.59065563,-4987.440989
C1CNCCN1(CCO),23.94958617,-6543.317229
COCC(N)C,23.01754073,-4258.560406
CC(=O)OCCOCCCC,24.15514721,-5936.012484
C=CC(=O)OCCO,26.01663163,-7080.995785
CC(O)COC(=O)C(C)=C,25.83071149,-7056.25095
CCOCCC(=O)OCC,23.5791114,-5386.99525
O=C(OCC(O)C)C=C,23.83970109,-6136.331975
ClCCOCOCCCl,23.79249864,-6096.084238
CC(=O)OC(=C)C,23.29411193,-4407.076446
CCCCCOCCO,24.63770107,-6129.499319
CC(=O)COC,22.88861852,-4442.2522
CCCCCOCCOCCO,25.84185722,-7619.303795
CCCCOCCOCCOCCOCCO,27.1412615,-9042.842827
c1ccccc1(OC(C)=O),23.61319365,-5759.229454
C1OC(OCCCCO)CC1,26.42798529,-7860.560803
C=CCOC(=O)c1ccccc1C(=O)OCC=C,25.68811905,-8557.193413
COC(=O)CCCCCCCCCCCCC,24.41992522,-7429.731981
c1ccccc1CC(=O)OCC,23.78291414,-6185.895703
O=C(OC)CCCCCCC/C=CC/C=CCCCCC,26.36166571,-9254.199884
C(CCCC=C/CCCCCC)CCCC(OC)=O,26.12513625,-8766.787237
O=C(OC)CCCCCCCC=C/CC=C/CC=C/CC,26.60505102,-9422.446747
CCCCCOC(=O)CCC,23.77211139,-5658.47761
O=C(OCCC(C)C)CCC,23.80552417,-5589.300723
CC(=O)OC(C=C)OC(=O)C,24.16811088,-5861.183808
CCCCCCCCCCCCCCCC(=O)OCC,25.43957147,-8535.964555
O=C(OCC)CCCCCCCC=CCCCCCCCC,25.5968138,-8875.153539
O=C(OC)CCCCCCC,23.6176126,-5718.663156
O=C(OC)CCCCCCCCCCC/C=CCCCCCCCC,26.84880998,-10330.81178
CC(C)OC(=O)CCCCCCCCCCCCCCC,25.40653572,-8643.410055
O=C(OCC)CCCCCCCCC,24.39197358,-6745.064292
O=C(OCC)CCCCCCCCCCC,24.78066032,-7395.332104
O=C(OCC)CCCCCCCCCCCCC,24.92623075,-7848.648581
O=C(OCC)CCCCCCC/C=CC/C=CC/C=CCC,25.92156808,-9139.618303
O=C(OCC)CCCCCCC/C=CC/C=CCCCCC,26.26458555,-9351.122024
O=C(OCC)CCCCCCCCCCC/C=CCCCCCCCC,26.81381719,-10392.70321
O=C(CCCCCCC)OCC(OC(CCCCCCC)=O)COC(CCCCCCC)=O,26.96708036,-11399.67686
O=C(CCCCCCCC=CC/C=CCCCCC)OCC(OC(CCCCCCC/C=CC/C=CCCCCC)=O)COC(CCCCCCCC=CC/C=CCCCCC)=O,33.05671982,-18818.96238
O=C(C=C)OCCCCCCOC(=O)C=C,25.29542384,-8192.481492
CC/C=CC/C=CC/C=CCCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=CC/C=CC/C=CCC)COC(=O)CCCCCCC/C=CC/C=CC/C=CCC,33.32743236,-18991.90474
O=C1C=CCO1,22.79794946,-5526.703867
O=C(OCC(CCCC)CC)c(cccc1)c1,25.02869678,-7809.878259
CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,26.02920893,-9065.692854
CCCCC(CC)COC(=O)/C=CC(=O)OCC(CC)CCCC,26.38263302,-9473.302432
COC(=O)CCCC(=O)OC,24.19105846,-6255.44804
O=C(OC)CCCCCCCCCCCCCC,24.63756711,-7808.035955
C1OC(=O)OC1(C=C),24.45815916,-6745.534011
COC(=O)CCC(=O)OC,23.86464694,-5840.023617
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,26.75419192,-10410.52821
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,28.24107895,-10904.84531
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,25.3768261,-8731.828807
COC(=O)CC(=O)OC,25.38318016,-6306.008675
c1(CC)cc(CC)cc(CC)c1,23.67597518,-6023.379571
C(Br)CCCCCCCCCCC,24.44310339,-7185.645238
C(Br)C(Br)CCCCCCCCCC,23.53305684,-7558.148059
C(I)(F)(F)(F),21.53727425,-2516.82645
CC(F)(F)CC(F)(F)F,22.06839867,-3306.042452
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,22.65261509,-3740.589935
CC(F)(F)CC(C)(F)F,22.25162094,-3741.076707
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,23.14549697,-4035.539302
C1N(CCCN)CCN(CCCN)C1,25.28604317,-7903.034007
C1CC1C#N,22.66445164,-4563.634922
NCCCCCN,23.82064183,-5566.551526
c1(C)cc(C)c(N)cc1,23.74492778,-6025.185317
N1(CCOCCN)CCOCC1,24.65718526,-6851.568169
N1(CCOCCO)CCOCC1,25.04166072,-7323.197961
CC(C)CC(=O),22.91204477,-4187.398054
C=CC=O,22.50903904,-3590.268849
C/C=CC=O,23.11838417,-4251.262207
C/C=C/C=O,22.74472727,-4259.881055
C=C(C)C=O,22.27605269,-3693.819871
c1(C)ccccc1(C=O),23.24298293,-5596.519383
c1cc(C)ccc1C=O,23.00827468,-5563.279582
c1ccccc1(C=O),22.92551415,-5207.798677
c1(O)ccccc1(C=O),23.9208252,-5809.686581
c1c(C)cccc1(C=O),23.42426656,-5679.215062
O=CC(C)CCCCCC,23.77318875,-5703.053654
O=CC(C)CCCCC,23.50944867,-5209.389582
C1(C)OC(C)OC(C)O1,22.53472875,-4391.523886
CC(=O)C,22.7121657,-3711.569436
CC(=O)CC,22.74116441,-3992.990257
CCC(=O)CC,22.62513923,-4180.388819
CC(C)CC(=O)C,22.84363368,-4459.386415
CC(=O)C(C)CC,23.03510828,-4555.73977
C=CCCC(=O)C,23.04229767,-4662.321599
CCC(=O)CCCC,23.04265025,-4895.443702
CCCC(=O)CCC,22.84087083,-4757.15057
CCC(=O)CCC,22.84858921,-4534.266665
CC(=O)CCC,22.793792,-4274.340686
CC(=O)C(C)C,22.76736034,-4175.710895
CC(=O)CCCC,22.920615,-4610.65413
CC(=O)CCCCC,22.97411213,-4897.550828
CC(=O)CCC(C)C,23.08746469,-4889.89052
CC(C)=CC(=O)C,22.8460446,-4597.409574
CC(=O)C(C)(C)C,22.3357853,-4134.916326
CC(C)CC(=O)CC(C)C,23.31219562,-5252.986086
CC(C)C(=O)C(C)C,22.92101012,-4565.786518
C1CCC(=O)N1,23.85879115,-6538.233331
C1CCC(=O)N1(C),23.12369195,-5588.160384
CCC(=O)CCC(C)C,23.33789376,-5175.873846
CCCCC(=O)CCCC,23.23384772,-5452.029945
CC(=O)CCCCCCC,23.29704321,-5548.870346
CC(=O)CC(=O)C,21.87710106,-4280.697145
C1C(=O)C=C(C)CC1(C)(C),22.73147719,-5494.873347
C1(=O)CCCC1,22.61274927,-4511.994607
C1(=O)CCCCC1,22.49869263,-4736.963135
CC(=O)CCCCCC,23.10604217,-5209.837615
c1ccccc1(C(=O)C),22.92552031,-5453.409932
C1COC1(=O),23.27338906,-5148.150711
C1CCC(=O)O1,23.21206658,-5618.980472
C1(=O)OCCCCC1,22.72357372,-5749.962065
C1C(C)OC(=O)C1,23.13061513,-5608.20185
CCC(=O)C(C)C,22.99835203,-4482.62061
CC(=O)C(=C)C,22.41215182,-4071.538238
C1(=O)C(C2CCCCC2)CCCC1,23.44488839,-6596.006921
C=C1CC(=O)O1,22.90785283,-4575.890577
c1ccccc1(CCCCC),23.32921423,-5734.107015
c1ccccc1(CCCCCC),23.49528223,-6061.231165
c1ccccc1(CCCCCCCC),23.85190515,-6708.139664
c1ccccc1(CCCCCCCCC),24.13391839,-7082.323553
c1ccccc1(CCCCCCCCCCC),24.55215297,-7716.255634
c1ccccc1(CCCCCCCCCCCCC),24.87261184,-8295.480355
c1ccccc1(CCCCCCCCCCCCCC),25.01907702,-8554.642487
c1ccccc1(CCCCCCCCCCCC),24.6490036,-7974.507911
c1(CC)cc(C)cc(C)c1,23.20143529,-5403.802745
c1(C)c(CC)c(C)ccc1,22.85922437,-5293.144685
c1(C)c(CC)cc(C)cc1,23.03193859,-5349.451475
c1(CC)c(C)cc(C)cc1,23.05076522,-5380.919493
c1(C)c(C)cc(CC)cc1,23.15852853,-5450.437975
c1(C)c(C)c(CC)ccc1,22.92318098,-5395.544225
C=C(c1ccccc1)CC,22.75860091,-5165.719978
C/C(c1ccccc1)=C/C,22.70952114,-5287.907211
C/C(c1ccccc1)=CC,22.71712102,-5055.384948
c1(C)c(CCC)cccc1,22.95581752,-5291.688336
c1(C)cc(CCC)ccc1,23.14844243,-5357.460939
c1(C)ccc(CCC)cc1,23.0150135,-5303.476878
c1ccccc1CCc2ccc(CC)cc2,23.83435541,-7039.946625
c1(CCC)c(C)c(C)ccc1,23.11280108,-5656.578073
c1(C)c(C)c(C)c(CC)cc1,23.26454757,-5857.036522
c1(C)c(C)c(CC)c(C)cc1,22.92803646,-5614.591265
CCc1c(C)cc(C)c(C)c1,23.13209643,-5680.749184
C=Cc1ccccc1,22.45121673,-4603.883663
C=Cc1c(C)cccc1,22.96032077,-5134.294283
C=Cc1cc(C)ccc1,22.97895017,-5162.523614
C1(CCC=CC)=CC=CC=C1C,23.3600887,-5987.536747
CCC1=C(C=C)C=CC=C1,23.1582474,-5430.773384
CCC1=CC(C=C)=CC=C1,23.35721319,-5569.796887
C=CC1=CC=C(CC)C=C1,23.01054067,-5408.917343
C=Cc1ccc(C)cc1,22.5974696,-4984.1529
c1(C(C)=C)ccccc1,22.90400891,-5024.340911
c1(C=C)cc(C=C)ccc1,22.962041,-5471.250485
c1(C#C)ccccc1,22.21508172,-4481.689277
c1(C=C)ccc(CC(C)C)cc1,23.24383625,-6214.842578
c1ccccc1/C=CC,22.7200792,-5109.929204
c1ccccc1/C=C/C,22.69419857,-5091.317612
c1(C=C)ccc(C(C)=C)cc1,22.51234441,-5691.995721
C=Cc1ccc(C(C)(C)C)cc1,22.89742523,-5740.05795
CC1(C)CCC2=CC=CC=C21,22.76714801,-5309.329534
CCC1CCC2=CC=CC=C21,23.33520343,-5822.839432
Cc1ccc(C(C)(C)C)cc1,22.86569289,-5347.464612
Cc1cc(C)cc(C(C)(C)C)c1,22.95466277,-5566.232725
c1(C)cccc2ccccc21,22.92208851,-5964.601605
c1(CC)cccc2ccccc21,23.16044621,-6258.078685
C1CCCc2ccccc21,22.7559466,-5456.821085
c1(CCCCCCCCC)cccc2ccccc21,24.68432189,-8518.76517
c1(CCCCCCCCCC)cccc2ccccc21,24.77573621,-8743.089517
c1(N=C=O)ccccc1,22.79582069,-4978.552732
N1=NC=CC=C1,22.41359478,-5291.110042
N1=CN=CC=C1,22.13404841,-4212.796272
C(ON(=O)=O)(CON(=O)=O)(CON(=O)=O),27.83809918,-8664.401369
c1(N)c(CC)cccc1(CC),25.27185177,-7001.354204
CN=C=O,22.37420619,-3410.437304
N#CC(O)C=C,26.15909138,-6825.952054
n1c(C)cc(C)cc1(C),22.92556742,-5109.362401
n1c(C)cccc1(C),22.69224229,-4680.471523
n1cc(C)ccc1,22.57056097,-4635.400518
N#CC(C)CCC#N,24.83907891,-7258.641
n1ccc(C)cc1,22.51368038,-4615.548423
O=C=NCCCCCCN=C=O,25.00222646,-7188.694333
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,25.0703455,-7730.26775
S1CC1,22.28178639,-3558.507724
CSCCCC,22.78230646,-4523.385586
CC(C)(C)SCC,22.4261189,-4341.753327
S1CCC1,22.23570175,-3973.754218
CC(C)(C)CCCCCCCCS,23.86456766,-6435.636253
CCCCCCC(C)(C)S,23.14045192,-5517.731461
S1C(C)=CC=C1,22.39916541,-4231.221354
S1C=C(C)C=C1,22.45231587,-4285.103522
NC=O,23.97957151,-6195.306247
CNC=O,23.63420326,-5780.840114
CC(=O)CC(C)(O)C,24.50681093,-5719.933604
O1C(CO)=CC=C1,25.22558687,-6109.961281
CC(=O)N(C)C,23.00332796,-5079.819368
OCCOC,23.9345269,-4995.00852
CCOCCO,23.92226042,-5128.812351
CCCCOCCO,24.20972767,-5734.798179
COCCOCCO,24.29537626,-6060.336949
CCOCCOCCO,24.44850256,-6241.245883
NCCOCCO,24.92010008,-6756.665439
ClCC(=O)OCC,23.08315187,-4865.629547
FC(F)OCC(F)(F)F,23.11114617,-3541.488722
OCCOCCOCCOC,26.56179647,-7666.059326
SCC(=O)O,24.4976303,-6447.388722
C=C(C)C(=O)OCCO,24.4620199,-6417.532804
C=C(C)C(=O)OCCOC(=O)CC(=O)C,25.51632771,-7754.796476
CC(O)C(=O)OC,24.15100893,-5339.180851
CC(OC)CO,23.5883465,-4902.371112
c1ccccc1C(C)OC=O,23.3356419,-5694.749024
OCCCC=O,25.92048499,-6286.976387
c1(C(=O)C)c(O)cccc1,23.74624935,-6021.471604
c1(OCC)ccc(N)cc1,23.97226632,-6628.95951
CC(C)C(=O)OCC(C)(C)C(O)C(C)C,24.82394221,-7102.601299
CC(=O)CO,24.74154676,-5526.339048
c1(O)c(Cl)cccc1,22.97660487,-5121.324722
CC(O)COC(C)C,24.63089673,-5399.044034
ClCCO,24.69984822,-5309.322582
C=C(C)C(=O)O,23.86789851,-5405.686303
CCCCCCCC/C=CCCCCCCCC(=O)O,27.40114762,-10168.79701
CCCCC/C=CC/C=CCCCCCCCC(=O)O,27.64223116,-10237.88064
OOC(=O)C,25.05853187,-5194.203058
CC(=O)OC(=O)C,23.60313621,-5042.322691
CCC(=O)OC(=O)CC,24.00911836,-5573.902556
CCCC(=O)OC(=O)CCC,24.96902079,-6429.129199
COC(=O),22.70204353,-3432.641849
CCOC(=O),22.583134,-3645.206329
CCCOC(=O),22.83693265,-4056.545554
CCCCOC(=O),23.09880888,-4437.114521
C(=O)OCC(C)C,23.08657647,-4324.573658
CCCCCOC=O,23.4361052,-4867.979918
CCCCCCCCOC=O,23.33065495,-5587.023141
CCCCCCCCCOC=O,23.99696205,-6120.527674
CCCCCCCCCCOC=O,24.27658528,-6504.362097
C=COC(=O),22.89102413,-3676.383451
CC(=O)OC,22.92921165,-3801.206841
CC(=O)OCC,22.98757638,-4057.03652
CC(=O)OCCC,23.21443712,-4440.122464
CC(=O)OCCCC,23.28395355,-4749.170272
CC(=O)OCC(C)C,23.34004622,-4655.826689
CC(=O)OCCC(C)C,23.31570069,-4944.004615
CC(=O)OCC=C,23.04309143,-4383.416241
CC(=O)OC(C)C,22.85027598,-4130.430241
CC(=O)OC(C)CC,23.40512815,-4638.387219
CC(=O)OC=C,22.96302982,-3995.647188
CCC(=O)OC,22.97842597,-4084.256643
CCC(=O)OCC,23.04517546,-4337.567659
CCC(=O)OCCC,23.23689594,-4675.429487
CCC(=O)OCCCC,23.59620764,-5121.769049
CCCOC(=O)CCC,23.29607299,-4960.491802
C=COC(=O)CC,23.07915727,-4302.932773
CCCC(=O)OC,23.07408891,-4393.95828
CCCC(=O)OCC,22.95745227,-4557.072839
CC(C)C(=O)OCCC,23.57208851,-4983.584777
O=C(OCC(CCCC)CC)c(ccc(c1C(=O)OCC(CCCC)CC)C(=O)OCC(CCCC)CC)c1,30.73606395,-13185.97298
O=C(OCC)CCCCCCC,24.08745134,-6095.121615
C=CC(=O)OC,22.78742954,-4007.918493
C=CC(=O)OCC,22.96844175,-4300.918364
CCCOC(=O)C=C,23.29583029,-4672.704197
CCCCOC(=O)C=C,23.2806136,-4999.560164
CCCCCCCCC(=O)OCCCC,23.86077388,-6404.351364
CCCCC(=O)OCCCC,24.18088453,-5888.152376
CC(C)CC(=O)OCC,23.2906018,-4866.902259
C=C(C)C(=O)OC,22.58034377,-4166.528669
CCOC(=O)C(C)=C,22.573418,-4343.092934
CCCOC(=O)C(C)=C,23.13074442,-4873.10042
c1cc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)cc1,27.08189964,-10624.28766
c1cc(C(=O)OCCCCCC(C)C)c(C(=O)OCCCCCC(C)C)cc1,27.6664017,-11298.0951
C1(C)CCC(C[OH])CC1,24.83667896,-6268.605625
C1(C)CCC(C[OH])CC1,26.1322293,-6980.851482
c1(C)ccc(C(O)(C))cc1,24.49491257,-6471.023743
OCC#C,23.75064171,-4754.390243
c1ccccc1(CO),23.90478127,-6033.200922
c1(O)cc(C)ccc1,23.71856884,-5862.532906
c1(O)c(CC)cccc1,23.65549955,-5853.160856
c1(O)c(CCCCCCCCC)cccc1,25.98619146,-8660.673034
OCCO,24.97634173,-6416.128499
OCCOCCO,25.16423158,-7216.826838
OCCOCCOCCO,25.33400275,-7890.974503
OCCOCCOCCOCCO,26.54600899,-9242.650127
CC(C)(C)OCC(O)COC(C)(C)C,24.12733443,-6292.831384
CC(O)COC(C)COC(C)COC(C)CO,26.03737352,-8511.210838
CC(O)COC(C)COC(C)COC(C)COC(C)CO,26.53829229,-9315.206349
OC(C)CO,25.50261321,-6564.00434
OCCCO,25.65639201,-7019.220469
CC(O)COCC(O)C,25.13246989,-6993.821366
CC(O)COC(C)COCC(O)C,25.92874856,-7890.99994
OCCCC(O)C,25.23833012,-6909.613452
OCC(C)CO,26.06684018,-7265.591558
OCC(O)CC,25.32608407,-6592.513582
OCCC(O)C,26.24313732,-7260.7084
CC(O)(C)CC(O)C,27.348234,-7488.106792
CC(C)(O)CO,26.83734841,-7014.835943
OC(CO)COC(C)(C)C,26.03446004,-7492.876569
OCC(O)CO,25.49026678,-7998.051643
CC(O)C(O)CO,32.54265983,-11951.29209
C(O)C(O)CCO,32.64872325,-11687.53565
CCC(O)C(C)CO,29.39528799,-8896.798601
CC(O)C(O)C,24.79836332,-6125.068321
OC/C=CCO,27.17400446,-7952.395092
OCCCCO,25.62812492,-7187.859852
OCCCCCO,26.05633034,-7613.879035
C(=O)O,22.6404316,-4154.716695
CC(=O)O,23.41893601,-4657.815426
CCC(=O)O,24.23674794,-5299.646502
CCCC(=O)O,24.59600771,-5742.837671
CCC(C)C(=O)O,24.8330518,-6096.696193
CCCCC(=O)O,25.19391346,-6358.975701
CCCCCCCCC(=O)O,25.55298049,-7546.418583
CC(C)C(=O)O,24.66141781,-5698.439924
CC(C)CC(=O)O,24.97413402,-6122.542168
CCCCCC(=O)O,25.28092081,-6679.226467
CCCCC(C)C(=O)O,25.12206684,-6667.176726
CCCCCCCC(=O)O,25.3602694,-7199.004585
C1CCCC1(CC(=O)O),24.77565592,-6748.910208
C/C=CC(=O)O,24.24338513,-5705.432198
CCCCCCC(C)C(=O)O,25.56059143,-7377.407798
C=CC(=O)O,24.03644397,-5195.482328
C=COC=C,22.4974212,-3333.294495
CCOCCC,22.77514356,-3843.38111
C1OCc2ccccc12,22.98542704,-5367.372935
CC=Cc1ccc(OC)cc1,23.34139921,-6067.57024
C1OCCOC1,22.44314788,-4088.361614
CC(C)(C)OC(C)(C)C,22.28472801,-4139.138461
CCCCCCCCOCCCCCCCC,25.76598974,-8062.499534
CCCCCOCCCCC,23.62936842,-5599.89823
COC(C)CC,22.54183749,-3699.497889
COC(C)(C)CC,22.28478149,-3901.297031
CCOC(C)(C)C,22.47165713,-3822.256664
COCCCCC,22.73838203,-4219.689134
CCC(C)(C)OCC,22.48977366,-4144.112871
COCOC,22.59477095,-3524.169984
