smiles,Viscosity,temperature,,,,,,,,,mean,0.001687455
[Br],0.170685558,2.46300904237641,,,,,,,,,stdev,1.273968792
[Br],0.123925418,2.4209946546632,,,,,,,,,mean_temp,0.00322069136696833
[Br],0.076338206,2.37711624169363,,,,,,,,,stdev_temp,0.000807509558903324
[Br],-0.014783419,2.2913131029852,,,,,,,,,,
[Br],-0.094563534,2.21504918936811,,,,,,,,,,
[F],-0.693562327,9.74205463447914,,,,,,,,,,
[F],-0.827626877,9.2097018301155,,,,,,,,,,
[F],-0.949002181,8.62084647645295,,,,,,,,,,
[F],-1.014680771,8.33312929054457,,,,,,,,,,
[F],-1.067817876,8.1027667797666,,,,,,,,,,
[O-]C(=O)CCCF,0.063434652,2.29967661015715,,,,,,,,,,
[O-]C(=O)CCCF,-0.060825013,2.22381718664994,,,,,,,,,,
[O-]C(=O)CCCF,-0.180415368,2.1528028805089,,,,,,,,,,
[O-]C(=O)CCCF,-0.284667353,2.08618335941171,,,,,,,,,,
[O-]C(=O)CCCF,-0.379094276,2.02356357135104,,,,,,,,,,
BrCCBr,0.175086563,2.14158704391212,,,,,,,,,,
BrCCBr,-0.065070283,1.98017391726425,,,,,,,,,,
BrCCBr,-0.214680438,1.87722848769912,,,,,,,,,,
BrCCBr,-0.432978006,1.72788130102896,,,,,,,,,,
BrCCBr,-0.496714872,1.68596533924248,,,,,,,,,,
C(=CBr)Br,-0.903363155,2.4154430279051,,,,,,,,,,
C(=CBr)Br,-0.982249508,2.33585150898406,,,,,,,,,,
C(=CBr)Br,-1.023579534,2.29372993139174,,,,,,,,,,
C(=CBr)Br,-1.212643184,2.10731190030128,,,,,,,,,,
C(=CBr)Br,-1.27810943,2.04691141464349,,,,,,,,,,
C[C@@H]1CC[C@@H](C)CC1,-0.040761337,2.46805842724807,,,,,,,,,,
C[C@@H]1CC[C@@H](C)CC1,-0.228187497,2.33958090779715,,,,,,,,,,
C[C@@H]1CC[C@@H](C)CC1,-0.274596598,2.29967661015715,,,,,,,,,,
C[C@@H]1CC[C@@H](C)CC1,-0.384191363,2.22381718664994,,,,,,,,,,
C[C@@H]1CC[C@@H](C)CC1,-0.474889131,2.1528028805089,,,,,,,,,,
C1CCCC1,-0.463492218,2.46804292179386,,,,,,,,,,
C1CCCC1,-0.559667247,2.3808941793199,,,,,,,,,,
C1CCCC1,-0.61085974,2.33957146969459,,,,,,,,,,
C1CCCC1,-0.734423895,2.22381718664994,,,,,,,,,,
C1CCCC1,-0.81646099,2.1528028805089,,,,,,,,,,
C1CCCC2(CC1)CCCCC2,1.631028242,2.46805842724807,,,,,,,,,,
C1CCCC2(CC1)CCCCC2,1.180518941,2.29967661015715,,,,,,,,,,
C1CCCC2(CC1)CCCCC2,0.863380916,2.16803395559642,,,,,,,,,,
C1CCCC2(CC1)CCCCC2,0.539614242,2.02356357135104,,,,,,,,,,
C1CCCC2(CC1)CCCCC2,0.100147571,1.81198827787662,,,,,,,,,,
CC(=O)OC(C)=O,-0.291453694,2.1528028805089,,,,,,,,,,
CC(=O)OC(C)=O,-0.656529584,1.88536548040953,,,,,,,,,,
CC(=O)OC(C)=O,-0.732429108,1.83073572031936,,,,,,,,,,
CC(=O)OC(C)=O,-0.823141444,1.76446743146758,,,,,,,,,,
CC(=O)OC(C)=O,-0.895721893,1.71373763018683,,,,,,,,,,
CC(=O)Oc1ccccc1,0.698815862,2.26285654960498,,,,,,,,,,
CC(=O)Oc1ccccc1,0.511861049,2.15067391423057,,,,,,,,,,
CC(=O)Oc1ccccc1,0.196179788,1.95666764867877,,,,,,,,,,
CC(=O)Oc1ccccc1,-0.062384604,1.79481430196131,,,,,,,,,,
CC(=O)Oc1ccccc1,-0.175755039,1.72350808879097,,,,,,,,,,
CC(C)=O,0.315373227,3.49029324858816,,,,,,,,,,
CC(C)=O,-0.186652616,3.0210631483218,,,,,,,,,,
CC(C)=O,-0.537598966,2.66304625546652,,,,,,,,,,
CC(C)=O,-0.826503113,2.36651860081478,,,,,,,,,,
CC(C)=O,-0.912832492,2.27630382330793,,,,,,,,,,
CC(C)Br,-0.44421328,2.42264767091224,,,,,,,,,,
CC(C)Br,-0.651122339,2.22381718664994,,,,,,,,,,
CC(C)Br,-0.702141086,2.18136257886714,,,,,,,,,,
CC(C)Br,-0.741647399,2.144789257282,,,,,,,,,,
CC(C)Br,-0.780913346,2.10994984996788,,,,,,,,,,
CC(C)C(C)O,1.316282884,2.31388432526668,,,,,,,,,,
CC(C)C(C)O,0.878111247,2.21796421475998,,,,,,,,,,
CC(C)C(C)O,0.404030734,2.10244858088016,,,,,,,,,,
CC(C)C(C)O,-0.356558319,1.87446177534754,,,,,,,,,,
CC(C)C(C)O,-0.652200812,1.77431272074205,,,,,,,,,,
CC(C)CC(C)=O,-0.418421537,2.29962807134397,,,,,,,,,,
CC(C)CC(C)=O,-0.475894279,2.26111050063067,,,,,,,,,,
CC(C)CC(C)=O,-0.550133341,2.22380302949609,,,,,,,,,,
CC(C)CC(C)=O,-0.565926966,2.18773397224793,,,,,,,,,,
CC(C)CC(C)=O,-0.640418329,2.1528028805089,,,,,,,,,,
CC(C)CCO,3.621307752,3.0210631483218,,,,,,,,,,
CC(C)CCO,3.185914429,2.89148676407238,,,,,,,,,,
CC(C)CCO,2.743254095,2.77256936836847,,,,,,,,,,
CC(C)CCO,1.418089146,2.3808941793199,,,,,,,,,,
CC(C)CCO,0.308897109,2.03124551268784,,,,,,,,,,
CC(C)CO,1.622158561,2.46399936899543,,,,,,,,,,
CC(C)CO,1.347235332,2.38173551874845,,,,,,,,,,
CC(C)CO,0.708440192,2.18773397224793,,,,,,,,,,
CC(C)CO,-0.262132458,1.88784702723365,,,,,,,,,,
CC(C)CO,-0.420293328,1.83692172239979,,,,,,,,,,
CC(C)I,-0.32273992,2.27308071128238,,,,,,,,,,
CC(C)I,-0.400989257,2.20570007462843,,,,,,,,,,
CC(C)I,-0.531406045,2.08986961261308,,,,,,,,,,
CC(C)I,-0.645752088,1.99105133046909,,,,,,,,,,
CC(C)I,-0.74447459,1.90653312200972,,,,,,,,,,
CC(C)OB(OC(C)C)OC(C)C,-0.340675549,2.1528028805089,,,,,,,,,,
CC(C)OB(OC(C)C)OC(C)C,-0.709072244,1.90896275926973,,,,,,,,,,
CC(C)OB(OC(C)C)OC(C)C,-0.793086646,1.85639589873995,,,,,,,,,,
CC(C)OB(OC(C)C)OC(C)C,-0.944029994,1.75949422556661,,,,,,,,,,
CC(C)OB(OC(C)C)OC(C)C,-1.081994796,1.67220660815493,,,,,,,,,,
Cc1ccc(O)cc1,1.472759554,2.1528028805089,,,,,,,,,,
Cc1ccc(O)cc1,0.973007456,2.02623320607625,,,,,,,,,,
Cc1ccc(O)cc1,0.931071447,2.02356357135104,,,,,,,,,,
Cc1ccc(O)cc1,-0.175500208,1.67220660815493,,,,,,,,,,
Cc1ccc(O)cc1,-0.801090877,1.42571707669604,,,,,,,,,,
Cc1cccc(c1)C#N,0.245785679,2.22381718664994,,,,,,,,,,
Cc1cccc(c1)C#N,-0.291453694,1.90896275926973,,,,,,,,,,
Cc1cccc(c1)C#N,-0.450865426,1.80664631182547,,,,,,,,,,
Cc1cccc(c1)C#N,-0.597325808,1.71474009150915,,,,,,,,,,
Cc1cccc(c1)C#N,-0.722530507,1.63173197945999,,,,,,,,,,
Cc1cccc(F)c1,-0.391899594,2.29967661015715,,,,,,,,,,
Cc1cccc(F)c1,-0.49376947,2.22381718664994,,,,,,,,,,
Cc1cccc(F)c1,-0.575819022,2.1528028805089,,,,,,,,,,
Cc1cccc(F)c1,-0.621684418,2.08618335941171,,,,,,,,,,
Cc1cccc(F)c1,-0.729446399,2.02356357135104,,,,,,,,,,
Cc1cccc(N)c1,1.047656038,2.29967661015715,,,,,,,,,,
Cc1cccc(N)c1,0.001887144,1.90896275926973,,,,,,,,,,
Cc1cccc(N)c1,-0.459260679,1.68685117258312,,,,,,,,,,
Cc1cccc(N)c1,-0.739634193,1.54250146122052,,,,,,,,,,
Cc1cccc(N)c1,-0.887911395,1.46506587458515,,,,,,,,,,
CC1CCCCC1=O,0.479440176,2.3395391104858,,,,,,,,,,
CC1CCCCC1=O,0.469679564,2.32101481175367,,,,,,,,,,
CC1CCCCC1=O,0.266145717,2.22381718664994,,,,,,,,,,
CC1CCCCC1=O,0.152637036,2.15900775879446,,,,,,,,,,
CC1CCCCC1=O,-0.140147838,1.98835001068528,,,,,,,,,,
Cc1ccccc1F,-0.304627164,2.29967661015715,,,,,,,,,,
Cc1ccccc1F,-0.401642564,2.22381718664994,,,,,,,,,,
Cc1ccccc1F,-0.488641463,2.1528028805089,,,,,,,,,,
Cc1ccccc1F,-0.575819022,2.08618335941171,,,,,,,,,,
Cc1ccccc1F,-0.656529584,2.02356357135104,,,,,,,,,,
CCC(=O)CC,-0.413628757,2.46387330291118,,,,,,,,,,
CCC(=O)CC,-0.676681062,2.1528028805089,,,,,,,,,,
CCC(=O)CC,-0.798269269,2.12096950886137,,,,,,,,,,
CCC(=O)CC,-0.991063059,1.952078034232,,,,,,,,,,
CCC(=O)CC,-1.11307965,1.85145033299648,,,,,,,,,,
CCC(C)(C)S,-0.204446283,2.3808941793199,,,,,,,,,,
CCC(C)(C)S,-0.321558657,2.29967661015715,,,,,,,,,,
CCC(C)(C)S,-0.435703525,2.22381718664994,,,,,,,,,,
CCC(C)(C)S,-0.522207324,2.1528028805089,,,,,,,,,,
CCC(C)(C)S,-0.624631121,2.08618335941171,,,,,,,,,,
CCC(C)CC(O)CC,0.565924367,2.46769708274991,,,,,,,,,,
CCC(C)CC(O)CC,0.373664017,2.3808941793199,,,,,,,,,,
CCC(C)CC(O)CC,0.051270309,2.22381718664994,,,,,,,,,,
CCC(C)CC(O)CC,-0.329388042,2.02356357135104,,,,,,,,,,
CCC(C)CC(O)CC,-0.720173303,1.80640429190973,,,,,,,,,,
CCC(O)CC,0.935129272,2.2252854857488,,,,,,,,,,
CCC(O)CC,0.694978106,2.17432714755597,,,,,,,,,,
CCC(O)CC,0.379290913,2.10441777356509,,,,,,,,,,
CCC(O)CC,-0.17746258,1.95831594587653,,,,,,,,,,
CCC(O)CC,-0.335852501,1.91166947225501,,,,,,,,,,
CCc1ccccc1,-0.233445043,2.36909655111508,,,,,,,,,,
CCc1ccccc1,-0.284667353,2.33958090779715,,,,,,,,,,
CCc1ccccc1,-0.334651356,2.28672753343953,,,,,,,,,,
CCc1ccccc1,-0.427555197,2.21650535376368,,,,,,,,,,
CCc1ccccc1,-0.827626877,1.88959307620796,,,,,,,,,,
CCCC(Cl)=O,-0.437753892,2.29497913168108,,,,,,,,,,
CCCC(Cl)=O,-0.644326205,2.11963603979913,,,,,,,,,,
CCCC(Cl)=O,-0.866352099,1.93304744871234,,,,,,,,,,
CCCC(Cl)=O,-0.927509585,1.88021227640967,,,,,,,,,,
CCCC(Cl)=O,-0.986919382,1.82969213583587,,,,,,,,,,
CCCc1ccccc1N,-0.344555439,1.77571495312297,,,,,,,,,,
CCCc1ccccc1N,-0.685451529,1.5897890516662,,,,,,,,,,
CCCc1ccccc1N,-0.782185892,1.53617456175182,,,,,,,,,,
CCCc1ccccc1N,-0.866824817,1.48868337795084,,,,,,,,,,
CCCc1ccccc1N,-1.095799204,1.36150696835337,,,,,,,,,,
CCCCC#N,-0.242998288,2.29967661015715,,,,,,,,,,
CCCCC#N,-0.745892014,1.90896275926973,,,,,,,,,,
CCCCC#N,-0.787083186,1.87707141070645,,,,,,,,,,
CCCCC#N,-0.88451859,1.80664631182547,,,,,,,,,,
CCCCC#N,-1.121537529,1.63173197945999,,,,,,,,,,
CCCCCC(C)S,0.168918224,2.47040986308684,,,,,,,,,,
CCCCCC(C)S,0.033451738,2.3808941793199,,,,,,,,,,
CCCCCC(C)S,-0.196152715,2.22381718664994,,,,,,,,,,
CCCCCC(C)S,-0.475176184,2.02356357135104,,,,,,,,,,
CCCCCC(C)S,-0.618921121,1.90896275926973,,,,,,,,,,
CCCCCCC1CCCC2CCC(CCCC)CC12,3.382957741,2.46805842724807,,,,,,,,,,
CCCCCCC1CCCC2CCC(CCCC)CC12,2.494264863,2.29967661015715,,,,,,,,,,
CCCCCCC1CCCC2CCC(CCCC)CC12,1.897841928,2.16803395559642,,,,,,,,,,
CCCCCCC1CCCC2CCC(CCCC)CC12,1.335529523,2.02356357135104,,,,,,,,,,
CCCCCCC1CCCC2CCC(CCCC)CC12,0.64664293,1.81198827787662,,,,,,,,,,
CCCCCCCC(C)S,0.629471604,2.46805842724807,,,,,,,,,,
CCCCCCCC(C)S,0.307309429,2.29967661015715,,,,,,,,,,
CCCCCCCC(C)S,0.172448923,2.22381718664994,,,,,,,,,,
CCCCCCCC(C)S,0.050976623,2.1528028805089,,,,,,,,,,
CCCCCCCC(C)S,-0.161321609,2.02356357135104,,,,,,,,,,
CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,2.424270919,2.11896930526801,,,,,,,,,,
CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,2.046868643,2.02356357135104,,,,,,,,,,
CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,1.732919417,1.9363784247672,,,,,,,,,,
CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,1.639711498,1.90896275926973,,,,,,,,,,
CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,1.550404932,1.88231225423012,,,,,,,,,,
CCCCCCCCCCCC(CO)CCC,2.807544455,2.29967661015715,,,,,,,,,,
CCCCCCCCCCCC(CO)CCC,2.42007069,2.22381718664994,,,,,,,,,,
CCCCCCCCCCCC(CO)CCC,2.073930589,2.1528028805089,,,,,,,,,,
CCCCCCCCCCCC(CO)CCC,1.476387845,2.02356357135104,,,,,,,,,,
CCCCCCCCCCCC(CO)CCC,0.602770949,1.80664631182547,,,,,,,,,,
CCCCN1CCOC1=O,1.731556853,2.4236926036961,,,,,,,,,,
CCCCN1CCOC1=O,1.475694616,2.33958090779715,,,,,,,,,,
CCCCN1CCOC1=O,1.04862497,2.18773397224793,,,,,,,,,,
CCCCN1CCOC1=O,0.869979126,2.11896930526801,,,,,,,,,,
CCCCN1CCOC1=O,0.568017412,1.99364208962287,,,,,,,,,,
CCCCNCCCC,-0.183379306,2.18773397224793,,,,,,,,,,
CCCCNCCCC,-0.424857777,2.05439650412681,,,,,,,,,,
CCCCNCCCC,-0.85882707,1.80037469267179,,,,,,,,,,
CCCCNCCCC,-1.050897621,1.67096347521723,,,,,,,,,,
CCCCNCCCC,-1.108241243,1.63291780963212,,,,,,,,,,
CCCO[P](=O)(OCCC)OCCC,0.816043119,2.29967661015715,,,,,,,,,,
CCCO[P](=O)(OCCC)OCCC,0.721362745,2.26111050063067,,,,,,,,,,
CCCO[P](=O)(OCCC)OCCC,0.633887148,2.22381718664994,,,,,,,,,,
CCCO[P](=O)(OCCC)OCCC,0.554447128,2.18773397224793,,,,,,,,,,
CCCO[P](=O)(OCCC)OCCC,0.475559034,2.1528028805089,,,,,,,,,,
CCCOC(N)=O,0.806032271,1.99364208962287,,,,,,,,,,
CCCOC(N)=O,0.611125199,1.9363784247672,,,,,,,,,,
CCCOC(N)=O,0.436598274,1.88231225423012,,,,,,,,,,
CCCOC(N)=O,0.278882376,1.83118335604096,,,,,,,,,,
CCCOC(N)=O,0.141788482,1.78275847423634,,,,,,,,,,
CCO,0.79557932,2.66304625546652,,,,,,,,,,
CCO,-0.004470656,2.22381718664994,,,,,,,,,,
CCO,-0.036645184,2.21003890520707,,,,,,,,,,
CCO,-0.115707002,2.17005775444619,,,,,,,,,,
CCO,-0.188842431,2.13345409610281,,,,,,,,,,
CF,0.527942815,5.15405342909862,,,,,,,,,,
CF,0.18906781,4.81020447649205,,,,,,,,,,
CF,-0.164562015,4.37958902456536,,,,,,,,,,
CF,-0.247743654,4.27055736714691,,,,,,,,,,
CF,-0.695517652,3.6553171236169,,,,,,,,,,
ClC(Cl)Cl,0.527502743,3.20900071392504,,,,,,,,,,
ClC(Cl)Cl,-0.418688663,2.33213491902445,,,,,,,,,,
ClC(Cl)Cl,-0.548555555,2.18773397224793,,,,,,,,,,
ClC(Cl)Cl,-0.690534557,2.06877006018139,,,,,,,,,,
ClC(Cl)Cl,-0.719389138,2.0423224743469,,,,,,,,,,
CN(C)C=O,0.04980078,2.4236926036961,,,,,,,,,,
CN(C)C=O,-0.079244843,2.33958090779715,,,,,,,,,,
CN(C)C=O,-0.185163056,2.26111050063067,,,,,,,,,,
CN(C)C=O,-0.262898849,2.18773397224793,,,,,,,,,,
CN(C)C=O,-0.342613096,2.11896930526801,,,,,,,,,,
CN(C)c1ccc(C)cc1,-0.715285078,1.66765676856896,,,,,,,,,,
CN(C)c1ccc(C)cc1,-0.803050255,1.61183578510519,,,,,,,,,,
CN(C)c1ccc(C)cc1,-1.044941988,1.45557653660737,,,,,,,,,,
CN(C)c1ccc(C)cc1,-1.114050921,1.41227654449492,,,,,,,,,,
CN(C)c1ccc(C)cc1,-1.14107533,1.39388033429759,,,,,,,,,,
CN1CCCN(C)C1=O,0.843567936,2.26111050063067,,,,,,,,,,
CN1CCCN(C)C1=O,0.676330815,2.18773397224793,,,,,,,,,,
CN1CCCN(C)C1=O,0.526902246,2.11896930526801,,,,,,,,,,
CN1CCCN(C)C1=O,0.391758288,2.05439650412681,,,,,,,,,,
CN1CCCN(C)C1=O,0.163083091,1.9363784247672,,,,,,,,,,
CO,0.950010147,3.22652524793558,,,,,,,,,,
CO,0.303751973,2.79116512702001,,,,,,,,,,
CO,-0.092779981,2.52065899528702,,,,,,,,,,
CO,-0.133645319,2.49306670244157,,,,,,,,,,
CO,-0.792656302,2.05420841622572,,,,,,,,,,
COc1ccccc1[N+]([O-])=O,0.35723346,1.90734210222948,,,,,,,,,,
COc1ccccc1[N+]([O-])=O,-0.041256729,1.71474009150915,,,,,,,,,,
COc1ccccc1[N+]([O-])=O,-0.201908458,1.63291780963212,,,,,,,,,,
COc1ccccc1[N+]([O-])=O,-0.281296058,1.59317058898479,,,,,,,,,,
COc1ccccc1[N+]([O-])=O,-0.66106425,1.3982164682755,,,,,,,,,,
N#Cc1ccccc1,0.312484004,2.33956607649313,,,,,,,,,,
N#Cc1ccccc1,0.301620408,2.30203209089702,,,,,,,,,,
N#Cc1ccccc1,-0.01414486,2.1528028805089,,,,,,,,,,
N#Cc1ccccc1,-0.373147188,1.90896275926973,,,,,,,,,,
N#Cc1ccccc1,-0.606435565,1.71474009150915,,,,,,,,,,
N#CCc1ccccc1,0.200379826,2.08618335941171,,,,,,,,,,
N#CCc1ccccc1,0.091129062,2.02356357135104,,,,,,,,,,
N#CCc1ccccc1,-0.10166719,1.90896275926973,,,,,,,,,,
N#CCc1ccccc1,-0.420828946,1.71474009150915,,,,,,,,,,
N#CCc1ccccc1,-0.532486286,1.63054817173841,,,,,,,,,,
Nc1ccccc1Cl,0.84276492,2.22491807389899,,,,,,,,,,
Nc1ccccc1Cl,0.756513289,2.18879912953728,,,,,,,,,,
Nc1ccccc1Cl,0.599528333,2.1199690699896,,,,,,,,,,
Nc1ccccc1Cl,0.518446704,2.11233027426452,,,,,,,,,,
Nc1ccccc1Cl,-0.480361185,1.59543303699938,,,,,,,,,,
Nc1ccccc1F,0.738064409,2.2975604527323,,,,,,,,,,
Nc1ccccc1F,0.577311325,2.22345044895031,,,,,,,,,,
Nc1ccccc1F,0.415191329,2.1528028805089,,,,,,,,,,
Nc1ccccc1F,0.265587234,2.08618335941171,,,,,,,,,,
Nc1ccccc1F,0.140479143,2.02356357135104,,,,,,,,,,
Oc1ccccc1,0.584861481,1.97900224424596,,,,,,,,,,
Oc1ccccc1,0.537285894,1.96459295823168,,,,,,,,,,
Oc1ccccc1,0.447795764,1.9363784247672,,,,,,,,,,
Oc1ccccc1,0.371519082,1.90788209652617,,,,,,,,,,
Oc1ccccc1,-0.348454601,1.63252275762481,,,,,,,,,,
OCC(F)F,0.763654644,2.29967661015715,,,,,,,,,,
OCC(F)F,0.554447128,2.22381718664994,,,,,,,,,,
OCC(F)F,0.35773042,2.13914055289753,,,,,,,,,,
OCC(F)F,0.189375694,2.08618335941171,,,,,,,,,,
OCC(F)F,0.030969744,2.02356357135104,,,,,,,,,,
